"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"146","3q27.1",0.230700854123959,2.17089377201708,0.0325708749228042,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"147","3q27.2",0.224225114680451,2.18791835717666,0.0312660630854468,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"148","3q27.3",0.225851558724435,2.22085771092041,0.0288704749232125,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"149","3q29",0.209189161825164,2.21779125878277,0.0290864997331186,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"150","4p16.3",-0.440035259866501,-1.91146332717297,0.0591271265195022,"con","ALL","4","p","4p",0,-1,"LUAD","B_cell"
"151","4p16.1",-0.513812264945284,-2.16573693812877,0.0329753544849114,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"152","4p15.32",-0.550682849513836,-2.27335109675052,0.0253843132777086,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"153","4p15.2",-0.572682153268157,-2.34799101510434,0.0210662377441516,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"154","4p14",-0.570053861711155,-2.16013359871044,0.0334198051405035,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"155","4p13",-0.516666662967746,-1.83172941698134,0.0702997065490925,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"156","4p12",-0.531826489009333,-1.85666916859861,0.066629616483097,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"157","4p11",-0.547362185192614,-1.90253597688302,0.0602985330433882,"con","ALL","4","p","4p",0,1,"LUAD","B_cell"
"158","4q12",-0.611091213088579,-2.08536535166229,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"159","4q13.2",-0.667534901982976,-2.19601359776801,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"160","4q21.1",-0.771574724832246,-2.19599805874462,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"161","4q21.22",-0.853885946556889,-2.35939598172971,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"162","4q21.23",-0.877315377269066,-2.41334744291956,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
