"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1823","Arm11q",14.584213388444,0.875879687708688,0.381450087593059,"ALL",0.0849371696922758,-1,"STES"
"1824","Arm12p",24.6365247670203,2.14736386071575,0.0321690188371359,"ALL",0.782868315255099,1,"STES"
"1825","Arm12q",38.9026168035792,2.47253334008228,0.013695301832903,"ALL",0.897708136405305,1,"STES"
"1826","Arm13q",3.84938640935342,0.279689155017925,0.779813526904585,"ALL",0.0197691289335497,1,"STES"
"1827","Arm14q",-29.6142441267865,-1.55525823396278,0.120418088999057,"ALL",-0.452652448163023,-1,"STES"
"1828","Arm15q",-51.6507903782018,-2.34821604522295,0.0191911073957037,"ALL",-0.882267357856667,-1,"STES"
"1829","Arm16p",14.2496623917394,0.840169429456173,0.401152006901353,"ALL",0.0849371696922758,-1,"STES"
"1830","Arm16q",19.8459064532473,1.09788187053778,0.272701656929682,"ALL",0.155648349222166,-1,"STES"
"1831","Arm17p",-1.51937360388789,-0.109120748705426,0.913143632428556,"ALL",-0.0139682128481744,-1,"STES"
"1832","Arm17q",-28.6499549905578,-1.73297309344343,0.0836203136677689,"ALL",-0.53247691998304,1,"STES"
"1833","Arm18p",-1.26219878810263,-0.0990749962069769,0.92111220625243,"ALL",-0.0139682128481744,-1,"STES"
"1834","Arm18q",-2.66990546842688,-0.195845620711968,0.844798091956681,"ALL",-0.0167657197451498,-1,"STES"
"1835","Arm19p",49.0306137761586,2.42906260623671,0.0154339827745883,"ALL",0.897708136405305,-1,"STES"
"1836","Arm19q",46.6729307883949,2.69809155996473,0.00717237447068279,"ALL",1.00867444194168,-1,"STES"
"1837","Arm20p",43.738194616935,3.68601290241621,0.000248679771578318,"ALL",1.99157568349971,1,"STES"
"1838","Arm20q",41.8391814560956,3.2534694138998,0.00120486360146574,"ALL",1.60730825426046,1,"STES"
"1839","Arm21q",-0.294282978970832,-0.0181325932085388,0.985539175689476,"ALL",-0.00632610761223303,-1,"STES"
"1840","Arm22q",-10.4423629528101,-0.553044644500934,0.580441263243741,"ALL",-0.0676375295146762,-1,"STES"
"1841","ArmXp",-6.23790574106349,-0.342703145849458,0.731943237087155,"ALL",-0.0225570567889155,-1,"STES"
"1842","ArmXq",-7.43702698969089,-0.36853831031133,0.712603413903607,"ALL",-0.0225570567889155,-1,"STES"
"1843","Arm1p",4.47691759935178,0.521857188452027,0.602555202637807,"ALL",0.125733242529066,1,"TGCT"
"1844","Arm1q",8.99294863179976,1.07008664047305,0.286334207992277,"ALL",0.209096508489478,1,"TGCT"
"1845","Arm2p",-23.5254152938656,-2.1839449018201,0.030551738175765,"ALL",-0.805270206735558,1,"TGCT"
"1846","Arm2q",-13.3595407964707,-1.12798408812374,0.261164303362356,"ALL",-0.225574832259052,1,"TGCT"
"1847","Arm3p",-6.11833066405467,-0.646708137976956,0.518829338625162,"ALL",-0.144048270847016,-1,"TGCT"
"1848","Arm3q",-3.27891953803732,-0.356687861327678,0.721836967802609,"ALL",-0.0969787473107203,1,"TGCT"
"1849","Arm4p",-12.0718507669795,-1.21919984613291,0.224721084995669,"ALL",-0.262931508537024,-1,"TGCT"
"1850","Arm4q",3.95817959474375,0.382584300030298,0.702580614580508,"ALL",0.0969787473107203,-1,"TGCT"
"1851","Arm5p",-3.81765254327678,-0.397932041095452,0.691257582593267,"ALL",-0.0969787473107203,-1,"TGCT"
"1852","Arm5q",-5.24371131631119,-0.528586662815825,0.59788936926977,"ALL",-0.125733242529066,-1,"TGCT"
"1853","Arm6p",6.52954503240533,0.636936363689736,0.525156961826986,"ALL",0.144048270847016,1,"TGCT"
"1854","Arm6q",8.59038168687756,0.78952232280209,0.431078425454855,"ALL",0.167633203355136,1,"TGCT"
"1855","Arm7p",9.75066202657428,1.40135692506745,0.163215092348469,"ALL",0.262931508537024,1,"TGCT"
"1856","Arm7q",5.72344763809708,0.813545432338382,0.417221196428552,"ALL",0.167633203355136,1,"TGCT"
"1857","Arm8p",10.0753372455638,1.67894511478967,0.0952871491111805,"ALL",0.449574494919052,1,"TGCT"
"1858","Arm8q",8.75609821938779,1.33510125133486,0.183907099028857,"ALL",0.262931508537024,1,"TGCT"
"1859","Arm9p",7.14918779799561,0.977991448887488,0.329685299305663,"ALL",0.1913358556656,-1,"TGCT"
"1860","Arm9q",14.8912291725027,1.87513678656306,0.062757513500662,"ALL",0.589550415094718,-1,"TGCT"
"1861","Arm10p",7.24398397031736,0.824028966677288,0.411258080959338,"ALL",0.167633203355136,-1,"TGCT"
"1862","Arm10q",0.776609713923434,0.0916768630013193,0.92707959297044,"ALL",0.0131781458808114,-1,"TGCT"
"1863","Arm11p",-10.1073417845351,-1.31494235738364,0.190576897594247,"ALL",-0.262931508537024,-1,"TGCT"
"1864","Arm11q",-14.7396995276477,-2.2031357978221,0.0291416932414863,"ALL",-0.805270206735558,-1,"TGCT"
"1865","Arm12p",0.236357408652811,0.0655940062569001,0.947790182864642,"ALL",0.0131781458808114,1,"TGCT"
"1866","Arm12q",12.5781501375294,4.12870629628114,6.09168706091742e-05,"ALL",3.20453854972879,1,"TGCT"
"1867","Arm13q",-0.37534427085333,-0.0375317453136284,0.97011194952912,"ALL",-0.0131781458808114,-1,"TGCT"
