"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"25995","4q21.23",-26.9146204062843,-2.10298584789318,0.0359763827341769,"con","ALL","4","q","4q",-0.692983500840554,-1,"LUSC"
"25996","4q21.3",-20.143981390378,-1.64167141907973,0.101299737678408,"con","ALL","4","q","4q",-0.470073680038988,-1,"LUSC"
"25997","4q22.1",-11.0808508070355,-0.860568572823371,0.389896573511846,"con","ALL","4","q","4q",-0.155797075563668,-1,"LUSC"
"25998","4q22.2",7.34619867278228,0.589921652194872,0.555515103900355,"con","ALL","4","q","4q",0.0963321512848713,-1,"LUSC"
"25999","4q22.3",11.6733892131562,0.852493401888528,0.394356781407015,"con","ALL","4","q","4q",0.154657531125032,-1,"LUSC"
"26000","4q23",-1.62347630568491,-0.116455370740471,0.907339367359328,"con","ALL","4","q","4q",-0.020268571341343,-1,"LUSC"
"26001","4q24",0.134606700386542,0.00936686404483841,0.992530245373851,"con","ALL","4","q","4q",0.00217725705095149,-1,"LUSC"
"26002","4q25",-2.45696231797377,-0.171851143533005,0.863625506497618,"con","ALL","4","q","4q",-0.0252268293217544,-1,"LUSC"
"26003","4q26",4.41261849393514,0.305448381484352,0.760154390593614,"con","ALL","4","q","4q",0.0484537213891317,-1,"LUSC"
"26004","4q27",5.43869024008542,0.387289827171445,0.69870981450619,"con","ALL","4","q","4q",0.063615710263234,-1,"LUSC"
"26005","4q28.1",9.44580668543902,0.649885254541264,0.516070891487989,"con","ALL","4","q","4q",0.110519059804244,-1,"LUSC"
"26006","4q28.2",16.984065688618,1.2294690316252,0.219486032326803,"con","ALL","4","q","4q",0.280042138492912,-1,"LUSC"
"26007","4q28.3",27.1848049127937,1.91495304287081,0.0560803943829908,"con","ALL","4","q","4q",0.607867219747708,-1,"LUSC"
"26008","4q31.1",23.0916734671616,1.71076152015419,0.0877580708891253,"con","ALL","4","q","4q",0.502053783192223,-1,"LUSC"
"26009","4q31.21",29.1493319862155,2.18496881008271,0.0293640908128346,"con","ALL","4","q","4q",0.730452445846845,-1,"LUSC"
"26010","4q31.22",25.1928367072227,1.86401465999225,0.0629174576979408,"con","ALL","4","q","4q",0.573647393353866,-1,"LUSC"
"26011","4q31.23",23.2833597044639,1.73863312032671,0.0827274169243172,"con","ALL","4","q","4q",0.512475227888057,-1,"LUSC"
"26012","4q31.3",20.8698886646689,1.51363628173494,0.130762833478582,"con","ALL","4","q","4q",0.419660404592536,-1,"LUSC"
"26013","4q32.1",22.1725432908779,1.64287874879593,0.101049531732734,"con","ALL","4","q","4q",0.470073680038988,-1,"LUSC"
"26014","4q32.2",22.3501462025402,1.70114633079483,0.0895499302240765,"con","ALL","4","q","4q",0.50036265530391,-1,"LUSC"
"26015","4q32.3",20.3602327404571,1.55718348526857,0.120072541313529,"con","ALL","4","q","4q",0.439102892331129,-1,"LUSC"
"26016","4q33",21.0536497491121,1.6999689717682,0.0897713559921461,"con","ALL","4","q","4q",0.50036265530391,-1,"LUSC"
"26017","4q34.1",23.8451268713573,1.91372046951792,0.0562381911448765,"con","ALL","4","q","4q",0.607867219747708,-1,"LUSC"
